# output generated by dpll_jrelling.py, input was data_2SATcnf_jrelling.py
satisfiability,# variables,time (s)
S,4,7.390975952148438e-05
U,4,4.57763671875e-05
S,4,2.5987625122070312e-05
S,4,9.250640869140625e-05
U,4,1.7642974853515625e-05
U,4,6.365776062011719e-05
U,4,6.508827209472656e-05
S,4,5.364418029785156e-05
S,4,7.2479248046875e-05
S,4,3.5762786865234375e-05
S,8,0.0001442432403564453
S,8,0.0002028942108154297
S,8,0.0002601146697998047
U,8,0.0006511211395263672
U,8,0.0004930496215820312
U,8,0.0003173351287841797
U,8,0.0010864734649658203
S,8,0.00017762184143066406
S,8,0.0002636909484863281
U,8,0.00025534629821777344
U,12,0.001264810562133789
S,12,0.0007088184356689453
S,12,0.0002551078796386719
S,12,0.00025153160095214844
S,12,0.0006651878356933594
S,12,0.0031130313873291016
U,12,0.0018770694732666016
U,12,0.0027894973754882812
U,12,0.0004634857177734375
U,12,0.0009520053863525391
S,16,0.0038008689880371094
U,16,0.004530191421508789
S,16,0.0033130645751953125
S,16,0.0014615058898925781
U,16,0.007315397262573242
S,16,0.00164031982421875
U,16,0.005483388900756836
S,16,0.0015964508056640625
U,16,0.011569738388061523
S,16,0.0037059783935546875
U,18,0.01698899269104004
U,18,0.060463905334472656
U,18,0.0064885616302490234
S,18,0.006440639495849609
U,18,0.011559724807739258
S,18,0.0003643035888671875
S,18,0.0002913475036621094
U,18,0.026602506637573242
S,18,0.0003299713134765625
U,18,0.005105495452880859
U,20,0.06860876083374023
S,20,0.0034165382385253906
S,20,0.020377635955810547
S,20,0.001495361328125
U,20,0.04025983810424805
U,20,0.013054609298706055
U,20,0.006163358688354492
S,20,0.0016112327575683594
U,20,0.012958049774169922
U,20,0.11548471450805664
S,22,0.003985166549682617
S,22,0.01788330078125
U,22,0.07382726669311523
S,22,0.009856224060058594
S,22,0.018700361251831055
S,22,0.0014865398406982422
U,22,0.07252645492553711
U,22,0.04377603530883789
S,22,0.0007112026214599609
U,22,0.003114461898803711
U,24,0.1482839584350586
S,24,0.0008401870727539062
S,24,0.003751516342163086
U,24,0.06770086288452148
U,24,0.03391838073730469
U,24,0.06757879257202148
S,24,0.01747441291809082
U,24,0.1848139762878418
S,24,0.010278463363647461
S,24,0.0021746158599853516
U,26,0.9271705150604248
S,26,0.001085042953491211
U,26,0.09452605247497559
U,26,0.027606487274169922
U,26,0.23431730270385742
U,26,0.10805773735046387
S,26,0.15114784240722656
S,26,0.03970479965209961
U,26,0.4995756149291992
S,26,0.05132699012756348
U,28,0.38916969299316406
S,28,0.09099888801574707
U,28,1.04494309425354
U,28,0.5284183025360107
U,28,0.26405978202819824
S,28,0.04541945457458496
S,28,0.04216289520263672
S,28,0.1742997169494629
U,28,0.4678370952606201
S,28,0.3561406135559082
